2025-08-12 20:28:13.388 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (4).txt - Copia.locked
2025-08-12 20:28:13.413 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (4).txt - Copia.locked
2025-08-12 20:28:13.436 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (4).txt - Copia.locked
2025-08-12 20:28:13.449 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:13.458 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (5).txt - Copia.locked
2025-08-12 20:28:13.459 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (5).txt - Copia.locked
2025-08-12 20:28:13.459 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (5).txt - Copia.locked
2025-08-12 20:28:13.460 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:13.461 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (6).txt - Copia.locked
2025-08-12 20:28:13.462 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (6).txt - Copia.locked
2025-08-12 20:28:13.464 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (6).txt - Copia.locked
2025-08-12 20:28:13.465 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:13.466 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (7).txt - Copia.locked
2025-08-12 20:28:13.467 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (7).txt - Copia.locked
2025-08-12 20:28:13.467 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (7).txt - Copia.locked
2025-08-12 20:28:13.468 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:13.469 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (8).txt - Copia.locked
2025-08-12 20:28:13.469 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (8).txt - Copia.locked
2025-08-12 20:28:13.470 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (8).txt - Copia.locked
2025-08-12 20:28:13.470 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:13.485 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (9).txt - Copia.locked
2025-08-12 20:28:13.517 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (9).txt - Copia.locked
2025-08-12 20:28:13.532 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (9).txt - Copia.locked
2025-08-12 20:28:13.538 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:13.548 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (10).txt - Copia.locked
2025-08-12 20:28:13.551 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (10).txt - Copia.locked
2025-08-12 20:28:13.555 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (10).txt - Copia.locked
